year,Total Assets,Total Current Assets,"Cash, Cash Equivalents and Short Term Investments",Cash and Cash Equivalents,Inventories,"Raw Materials, Consumables and Supplies",Work-in-Process,Finished Goods and Merchandise,Inventory Allowance/Adjustments,"Trade and Other Receivables, Current","Trade/Accounts Receivable, Current","Other Receivables, Current","General Allowance for Receivables and Write Offs, Current","Assets Held for Sale/Discontinued Operations, Current",Other Current Assets,Total Non-Current Assets,"Net Property, Plant and Equipment","Gross Property, Plant and Equipment",Properties,Land and Improvements,Buildings and Improvements,"Machinery, Furniture and Equipment",Plant and Machinery,Construction in Progress and Advance Payments,Accumulated Depreciation and Impairment,Accumulated Depreciation,Net Intangible Assets,Gross Goodwill and Other Intangible Assets,Goodwill,Intangibles other than Goodwill,Other Intangible Assets,Trademarks and Patents,Accumulated Amortization and Impairment,Accumulated Amortization of Intangible Assets,Accumulated Amortization of Intangibles other than Goodwill,Accumulated Amortization of Trademarks and Patents,Accumulated Amortization of Other Intangible Assets,Total Long Term Investments,Long Term Equity Investments,"Assets Held for Sale/Discontinued Operations, Non-Current",Other Non-Current Assets,Total Liabilities,Total Current Liabilities,"Payables and Accrued Expenses, Current","Trade and Other Payables, Current","Trade/Accounts Payable, Current","Dividends Payable, Current","Interest Payable, Current","Taxes Payable, Current","Accrued Expenses, Current","Financial Liabilities, Current",Current Debt and Capital Lease Obligation,Current Debt,Current Portion of Long Term Debt and Capital Lease,Current Portion of Long Term Debt,"Capital Lease Obligations, Current","Derivative and Hedging Liabilities, Current","Discontinued Operations Liabilities, Current",Other Current Liabilities,Total Non-Current Liabilities,"Financial Liabilities, Non-Current",Long Term Debt and Capital Lease Obligation,Long Term Debt,"Provisions, Non-Current","Provision for Employee Entitlements, Non-Current","Tax Liabilities, Non-Current","Deferred Tax Liabilities, Non-Current","Liabilities Held for Sale/Discontinued Operations, Non-Current",Other Non-Current Liabilities,Preferred Securities Outside Stock Equity,Total Equity,Equity Attributable to Parent Stockholders,Paid in Capital,Capital Stock,Common Stock,Preferred Stock,Additional Paid in Capital/Share Premium,Treasury Stock,Treasury Stock for Common Stock,Retained Earnings/Accumulated Deficit,Reserves/Accumulated Comprehensive Income/Losses,Other Reserves/Accum.Comp.Inc,Non-Controlling/Minority Interests in Equity,Debt Maturity Schedule Total,Debt due in Year 1,Debt due in Year 2,Debt due in Year 3,Debt due in Year 4,Debt due in Year 5,Debt due Beyond,Debt - Interests Charges and Other Adjustments,Operating Lease Obligation Maturity Schedule Total,Operating Lease due in Year 1,Operating Lease due in Year 2,Operating Lease due in Year 3,Operating Lease due in Year 4,Operating Lease due Beyond,Operating Lease - Interests Charges and Other Adjustments,Operating Lease - Interests Charges and Other Adjustments,Other Contractual Obligations Maturity Schedule Total,Other Contractual Obligations due in Year 1,Other Contractual Obligations due in Year 2,Other Contractual Obligations due in Year 3,Other Contractual Obligations due in Year 4,Other Contractual Obligations due in Year 5,Other Contractual Obligations due Beyond,Total Lease Liability,Total Lease Liability - Due in year 1,Total Lease Liability - Due in year 2,Total Lease Liability - Due in year 3,Total Lease Liability - Due in year 4,Total Lease Liability - Due in year 5,Total Lease Liability - Beyond,Total Lease Liability - Interest Charges and Other Adjustments,Total Contractual Obligations,Total Contractual Obligations due in year 1,Total Contractual Obligations due in year 2,Total Contractual Obligations due in year 3,Total Contractual Obligations due in year 4,Total Contractual Obligations due in year 5,Total Contractual Obligations due Beyond,Total Contractual Obligations - Interests Charges and Other Adjustments,quarter
2021.0,17827000000.0,5572000000.0,306000000.0,306000000.0,2110000000.0,718000000.0,235000000.0,1354000000.0,-197000000.0,2340000000.0,2340000000.0,,,0.0,816000000.0,12255000000.0,8018000000.0,18463000000.0,3162000000.0,171000000.0,2991000000.0,14668000000.0,14668000000.0,633000000.0,-10445000000.0,-10445000000.0,2637000000.0,2637000000.0,1834000000.0,803000000.0,803000000.0,,,,,,,350000000.0,350000000.0,0.0,1250000000.0,17069000000.0,7244000000.0,5751000000.0,3714000000.0,3337000000.0,377000000.0,,,2037000000.0,1493000000.0,1493000000.0,1493000000.0,,,,,0.0,,9825000000.0,7591000000.0,7591000000.0,7591000000.0,875000000.0,875000000.0,665000000.0,665000000.0,0.0,666000000.0,28000000.0,758000000.0,524000000.0,-4059000000.0,1100000000.0,473000000.0,0.0,627000000.0,-5159000000.0,-5159000000.0,7798000000.0,-3215000000.0,-3215000000.0,234000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2021.0,17775000000.0,5626000000.0,286000000.0,286000000.0,2098000000.0,759000000.0,234000000.0,1321000000.0,-216000000.0,2399000000.0,2399000000.0,,,0.0,843000000.0,12149000000.0,7964000000.0,18342000000.0,3128000000.0,169000000.0,2959000000.0,14514000000.0,14514000000.0,700000000.0,-10378000000.0,-10378000000.0,2606000000.0,2606000000.0,1796000000.0,810000000.0,810000000.0,,,,,,,340000000.0,340000000.0,0.0,1239000000.0,17068000000.0,7258000000.0,5871000000.0,3899000000.0,3519000000.0,380000000.0,,,1972000000.0,1387000000.0,1387000000.0,1387000000.0,,,,,0.0,,9810000000.0,7555000000.0,7555000000.0,7555000000.0,869000000.0,869000000.0,701000000.0,701000000.0,0.0,657000000.0,28000000.0,707000000.0,474000000.0,-4104000000.0,1087000000.0,473000000.0,0.0,614000000.0,-5191000000.0,-5191000000.0,7883000000.0,-3305000000.0,-3305000000.0,233000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2021.0,17837000000.0,5565000000.0,270000000.0,270000000.0,2239000000.0,773000000.0,242000000.0,1442000000.0,-218000000.0,2207000000.0,2092000000.0,170000000.0,-55000000.0,0.0,849000000.0,12272000000.0,8097000000.0,18528000000.0,3162000000.0,169000000.0,2993000000.0,14606000000.0,14606000000.0,760000000.0,-10431000000.0,-10431000000.0,2650000000.0,2749000000.0,1840000000.0,909000000.0,103000000.0,806000000.0,-99000000.0,-99000000.0,-99000000.0,-82000000.0,-17000000.0,290000000.0,290000000.0,0.0,1235000000.0,17100000000.0,6749000000.0,6186000000.0,4628000000.0,3840000000.0,380000000.0,85000000.0,323000000.0,1558000000.0,563000000.0,563000000.0,118000000.0,445000000.0,315000000.0,130000000.0,0.0,0.0,,10351000000.0,8141000000.0,8141000000.0,8141000000.0,809000000.0,809000000.0,694000000.0,694000000.0,0.0,681000000.0,26000000.0,737000000.0,514000000.0,-4105000000.0,1078000000.0,473000000.0,0.0,605000000.0,-5183000000.0,-5183000000.0,7858000000.0,-3239000000.0,-3239000000.0,223000000.0,8587000000.0,435000000.0,473000000.0,574000000.0,558000000.0,407000000.0,6140000000.0,,523000000.0,142000000.0,119000000.0,93000000.0,76000000.0,64000000.0,64000000.0,-35000000.0,8682000000.0,3962000000.0,1540000000.0,373000000.0,341000000.0,259000000.0,2207000000.0,523000000.0,142000000.0,119000000.0,93000000.0,76000000.0,64000000.0,64000000.0,-35000000.0,17792000000.0,4539000000.0,2132000000.0,1040000000.0,975000000.0,730000000.0,8411000000.0,-35000000.0,4.0
2022.0,18672000000.0,5903000000.0,493000000.0,493000000.0,2265000000.0,804000000.0,249000000.0,1438000000.0,-226000000.0,2516000000.0,2516000000.0,,,0.0,629000000.0,12769000000.0,8114000000.0,18705000000.0,3194000000.0,168000000.0,3026000000.0,14745000000.0,14745000000.0,766000000.0,-10591000000.0,-10591000000.0,3103000000.0,3103000000.0,2177000000.0,926000000.0,926000000.0,,,,,,,266000000.0,266000000.0,0.0,1286000000.0,17818000000.0,7257000000.0,6288000000.0,4234000000.0,3846000000.0,388000000.0,,,2054000000.0,969000000.0,969000000.0,969000000.0,,,,,0.0,,10561000000.0,8101000000.0,8101000000.0,8101000000.0,797000000.0,797000000.0,687000000.0,687000000.0,0.0,716000000.0,260000000.0,854000000.0,705000000.0,-4103000000.0,1072000000.0,473000000.0,0.0,599000000.0,-5175000000.0,-5175000000.0,7988000000.0,-3180000000.0,-3180000000.0,149000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2022.0,18114000000.0,5662000000.0,311000000.0,311000000.0,2278000000.0,825000000.0,265000000.0,1413000000.0,-225000000.0,2469000000.0,2469000000.0,,,0.0,604000000.0,12452000000.0,7931000000.0,18453000000.0,3206000000.0,158000000.0,3048000000.0,14550000000.0,14550000000.0,697000000.0,-10522000000.0,-10522000000.0,2995000000.0,2995000000.0,2102000000.0,893000000.0,893000000.0,,,,,,,270000000.0,270000000.0,0.0,1256000000.0,17372000000.0,7209000000.0,6178000000.0,4089000000.0,3701000000.0,388000000.0,,,2089000000.0,1031000000.0,1031000000.0,1031000000.0,,,,,0.0,,10163000000.0,7698000000.0,7698000000.0,7698000000.0,829000000.0,829000000.0,703000000.0,703000000.0,0.0,673000000.0,260000000.0,742000000.0,593000000.0,-4040000000.0,1071000000.0,473000000.0,0.0,598000000.0,-5111000000.0,-5111000000.0,8022000000.0,-3389000000.0,-3389000000.0,149000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2022.0,17836000000.0,5625000000.0,362000000.0,362000000.0,2281000000.0,841000000.0,253000000.0,1428000000.0,-241000000.0,2333000000.0,2333000000.0,,,0.0,649000000.0,12211000000.0,7737000000.0,18144000000.0,3125000000.0,153000000.0,2972000000.0,14372000000.0,14372000000.0,647000000.0,-10407000000.0,-10407000000.0,2909000000.0,2909000000.0,2043000000.0,866000000.0,866000000.0,,,,,,,266000000.0,266000000.0,0.0,1299000000.0,17253000000.0,7197000000.0,6238000000.0,4048000000.0,3660000000.0,388000000.0,,,2190000000.0,959000000.0,959000000.0,959000000.0,,,,,0.0,,10056000000.0,7628000000.0,7628000000.0,7628000000.0,837000000.0,837000000.0,636000000.0,636000000.0,0.0,695000000.0,260000000.0,583000000.0,437000000.0,-4020000000.0,1106000000.0,473000000.0,0.0,633000000.0,-5126000000.0,-5126000000.0,8086000000.0,-3629000000.0,-3629000000.0,146000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
2022.0,17970000000.0,5729000000.0,427000000.0,427000000.0,2269000000.0,874000000.0,246000000.0,1388000000.0,-239000000.0,2280000000.0,2155000000.0,189000000.0,-64000000.0,0.0,753000000.0,12241000000.0,7885000000.0,18549000000.0,3218000000.0,156000000.0,3062000000.0,14655000000.0,14655000000.0,676000000.0,-10664000000.0,-10664000000.0,2925000000.0,3035000000.0,2074000000.0,961000000.0,98000000.0,863000000.0,-110000000.0,-110000000.0,-110000000.0,-91000000.0,-19000000.0,238000000.0,238000000.0,0.0,1193000000.0,17270000000.0,7334000000.0,5762000000.0,4601000000.0,3813000000.0,388000000.0,82000000.0,318000000.0,1161000000.0,1171000000.0,971000000.0,373000000.0,598000000.0,471000000.0,127000000.0,200000000.0,0.0,401000000.0,9936000000.0,7578000000.0,7578000000.0,7578000000.0,654000000.0,654000000.0,647000000.0,647000000.0,0.0,799000000.0,258000000.0,700000000.0,547000000.0,-3985000000.0,1152000000.0,473000000.0,0.0,679000000.0,-5137000000.0,-5137000000.0,8201000000.0,-3669000000.0,-3669000000.0,153000000.0,8422000000.0,845000000.0,524000000.0,550000000.0,396000000.0,595000000.0,5523000000.0,-11000000.0,504000000.0,138000000.0,119000000.0,100000000.0,83000000.0,53000000.0,46000000.0,-35000000.0,9632000000.0,3839000000.0,1662000000.0,1097000000.0,539000000.0,501000000.0,1994000000.0,504000000.0,138000000.0,119000000.0,100000000.0,83000000.0,53000000.0,46000000.0,-35000000.0,18558000000.0,4822000000.0,2305000000.0,1747000000.0,1018000000.0,1149000000.0,7563000000.0,-46000000.0,4.0
2023.0,18177000000.0,5851000000.0,524000000.0,524000000.0,2224000000.0,859000000.0,244000000.0,1355000000.0,-234000000.0,2430000000.0,2430000000.0,,,0.0,673000000.0,12326000000.0,7866000000.0,18700000000.0,3225000000.0,160000000.0,3065000000.0,14807000000.0,14807000000.0,668000000.0,-10834000000.0,-10834000000.0,2958000000.0,2958000000.0,2090000000.0,868000000.0,868000000.0,,,,,,,281000000.0,281000000.0,0.0,1221000000.0,17316000000.0,7094000000.0,6558000000.0,4182000000.0,3788000000.0,394000000.0,,,2376000000.0,536000000.0,536000000.0,536000000.0,,,,,0.0,,10222000000.0,7945000000.0,7945000000.0,7945000000.0,645000000.0,645000000.0,612000000.0,612000000.0,0.0,810000000.0,210000000.0,861000000.0,719000000.0,-3986000000.0,1167000000.0,473000000.0,0.0,694000000.0,-5153000000.0,-5153000000.0,8365000000.0,-3660000000.0,-3660000000.0,142000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2023.0,17383000000.0,5744000000.0,580000000.0,580000000.0,2128000000.0,817000000.0,220000000.0,1302000000.0,-211000000.0,2359000000.0,2359000000.0,,,0.0,677000000.0,11639000000.0,7815000000.0,18724000000.0,3205000000.0,159000000.0,3046000000.0,14778000000.0,14778000000.0,741000000.0,-10909000000.0,-10909000000.0,2294000000.0,2294000000.0,2086000000.0,208000000.0,208000000.0,,,,,,,299000000.0,299000000.0,0.0,1231000000.0,16732000000.0,6598000000.0,6410000000.0,4108000000.0,3713000000.0,395000000.0,,,2302000000.0,188000000.0,188000000.0,188000000.0,,,,,0.0,,10134000000.0,7947000000.0,7947000000.0,7947000000.0,639000000.0,639000000.0,490000000.0,490000000.0,0.0,848000000.0,210000000.0,651000000.0,500000000.0,-3901000000.0,1170000000.0,473000000.0,0.0,697000000.0,-5071000000.0,-5071000000.0,8040000000.0,-3639000000.0,-3639000000.0,151000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
2023.0,17153000000.0,5727000000.0,814000000.0,814000000.0,2021000000.0,756000000.0,203000000.0,1259000000.0,-197000000.0,2298000000.0,2298000000.0,,,0.0,594000000.0,11426000000.0,7700000000.0,18650000000.0,3169000000.0,155000000.0,3014000000.0,14826000000.0,14826000000.0,655000000.0,-10950000000.0,-10950000000.0,2242000000.0,2242000000.0,2045000000.0,197000000.0,197000000.0,,,,,,,320000000.0,320000000.0,0.0,1164000000.0,16313000000.0,6831000000.0,6144000000.0,3885000000.0,3490000000.0,395000000.0,,,2259000000.0,687000000.0,687000000.0,687000000.0,,,,,0.0,,9482000000.0,7403000000.0,7403000000.0,7403000000.0,656000000.0,656000000.0,404000000.0,404000000.0,0.0,809000000.0,210000000.0,840000000.0,680000000.0,-3867000000.0,1234000000.0,473000000.0,0.0,761000000.0,-5101000000.0,-5101000000.0,8217000000.0,-3670000000.0,-3670000000.0,160000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
