year,Current Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Debt/Equity,Book Value/Share,Cap Ex as a % of Sales
2016.0,0.88,0.53,10.43,,,0.84,0.0424
2017.0,0.89,0.5,10.41,24.09,10.29,0.74,0.043
2018.0,0.77,0.41,7.89,,,-0.39,0.047400000000000005
2019.0,0.73,0.39,11.15,,,-0.41,0.0655
2020.0,0.8,0.39,12.63,27.99,12.58,0.99,0.0636
2021.0,0.82,0.37,9.69,34.7,15.84,1.41,0.0518
2022.0,0.78,0.37,9.3,32.85,13.85,1.29,0.0434
2023.0,0.82,0.47,7.9,18.96,8.11,2.02,0.0375
2024.0,0.8,0.43,11.84,19.7,8.18,3.87,0.0359
2025.0,0.75,0.37,9.02,11.38,4.31,4.01,0.0692
