year,"Cash Flow from Operating Activities, Indirect","Net Cash Flow from Continuing Operating Activities, Indirect",Cash Generated from Operating Activities,Income/Loss before Non-Cash Adjustment,Total Adjustments for Non-Cash Items,"Depreciation, Amortization and Depletion, Non-Cash Adjustment","Depreciation and Amortization, Non-Cash Adjustment","Pension and Employee Benefit Expense, Non-Cash Adjustment","Stock-Based Compensation, Non-Cash Adjustment","Deferred Taxes, Non-Cash Adjustment","Net Investment Income/Loss, Non-Cash Adjustment","Share of Profit/Loss from Associates, Joint Ventures and other Equity Investments, Non-Cash Adjustment","Irregular Income/Loss, Non-Cash Adjustment","Gain/Loss on Disposals, Non-Cash Adjustment","Gain/Loss on Disposal/Sale of Other Assets, Non-Cash Adjustment",Changes in Operating Capital,Other Operating Cash Flow,Cash Flow from Investing Activities,Cash Flow from Continuing Investing Activities,"Capital Expenditure, Reported","Purchase/Sale of Investments, Net",Purchase of Investments,Sale of Investments,"Purchase/Sale of Other Non-Current Assets, Net",Sales of Other Non-Current Assets,Other Investing Cash Flow,"Purchase/Sale of Business, Net",Purchase/Acquisition of Business,"Purchase/Sale and Disposal of Property, Plant and Equipment, Net","Sale and Disposal of Property, Plant and Equipment",Cash Flow from Financing Activities,Cash Flow from Continuing Financing Activities,"Issuance of/Payments for Common Stock, Net",Payments for Common Stock,"Issuance of/Repayments for Debt, Net","Issuance of/Repayments for Short Term Debt, Net","Issuance of/Repayments for Long Term Debt, Net",Repayments for Long Term Debt,Proceeds from Issuance of Long Term Debt,Cash Dividends and Interest Paid,Cash Dividends Paid,Cash Dividends Paid to Non-Controlling/Minority Interests,Proceeds from Issuance/Exercising of Stock Options/Warrants,Other Financing Cash Flow,"Cash and Cash Equivalents, End of Period",Change in Cash,Effect of Exchange Rate Changes,"Cash and Cash Equivalents, Beginning of Period","Change in Cash as Reported, Supplemental","Income Tax Paid, Supplemental","Interest Paid, Supplemental",quarter
2021.0,565000000.0,565000000.0,554000000.0,410000000.0,239000000.0,189000000.0,189000000.0,51000000.0,20000000.0,-39000000.0,7000000.0,7000000.0,11000000.0,11000000.0,11000000.0,-95000000.0,11000000.0,-242000000.0,-242000000.0,-201000000.0,-66000000.0,-292000000.0,226000000.0,,,-5000000.0,0.0,0.0,,,-342000000.0,-342000000.0,-162000000.0,-162000000.0,216000000.0,216000000.0,0.0,0.0,0.0,-389000000.0,-389000000.0,,17000000.0,-24000000.0,306000000.0,-19000000.0,5000000.0,320000000.0,-14000000.0,,,2.0
2021.0,782000000.0,782000000.0,785000000.0,479000000.0,243000000.0,194000000.0,194000000.0,3000000.0,-12000000.0,32000000.0,7000000.0,7000000.0,19000000.0,19000000.0,19000000.0,63000000.0,-3000000.0,-249000000.0,-249000000.0,-235000000.0,-16000000.0,-181000000.0,165000000.0,,,1000000.0,0.0,0.0,1000000.0,1000000.0,-547000000.0,-547000000.0,-62000000.0,-62000000.0,-122000000.0,-106000000.0,-16000000.0,-16000000.0,0.0,-385000000.0,-385000000.0,,25000000.0,-3000000.0,286000000.0,-14000000.0,-6000000.0,306000000.0,-20000000.0,,,3.0
2021.0,1062000000.0,1062000000.0,1064000000.0,361000000.0,225000000.0,194000000.0,194000000.0,8000000.0,-4000000.0,-28000000.0,50000000.0,50000000.0,5000000.0,5000000.0,5000000.0,478000000.0,-2000000.0,-320000000.0,-320000000.0,-273000000.0,-48000000.0,-286000000.0,238000000.0,,,-11000000.0,0.0,0.0,12000000.0,12000000.0,-755000000.0,-755000000.0,-7000000.0,-7000000.0,-351000000.0,-951000000.0,600000000.0,0.0,600000000.0,-383000000.0,-383000000.0,,13000000.0,-27000000.0,270000000.0,-13000000.0,-3000000.0,286000000.0,-16000000.0,-492000000.0,-243000000.0,4.0
2022.0,204000000.0,204000000.0,202000000.0,535000000.0,36000000.0,188000000.0,188000000.0,-14000000.0,16000000.0,-52000000.0,-108000000.0,-108000000.0,6000000.0,6000000.0,6000000.0,-369000000.0,2000000.0,-116000000.0,-116000000.0,-253000000.0,172000000.0,-83000000.0,255000000.0,,,-1000000.0,-34000000.0,-34000000.0,,,133000000.0,133000000.0,-25000000.0,-25000000.0,534000000.0,834000000.0,-300000000.0,-300000000.0,0.0,-384000000.0,-384000000.0,,23000000.0,-15000000.0,493000000.0,221000000.0,2000000.0,270000000.0,223000000.0,,,1.0
2022.0,740000000.0,740000000.0,745000000.0,441000000.0,283000000.0,192000000.0,192000000.0,13000000.0,52000000.0,17000000.0,2000000.0,2000000.0,7000000.0,7000000.0,7000000.0,21000000.0,-5000000.0,-161000000.0,-161000000.0,-217000000.0,73000000.0,-217000000.0,290000000.0,,,-6000000.0,-12000000.0,-12000000.0,,,-753000000.0,-753000000.0,-24000000.0,-24000000.0,-281000000.0,-281000000.0,0.0,0.0,0.0,-391000000.0,-391000000.0,,52000000.0,-27000000.0,311000000.0,-174000000.0,-8000000.0,493000000.0,-182000000.0,,,2.0
2022.0,798000000.0,798000000.0,785000000.0,470000000.0,133000000.0,188000000.0,188000000.0,7000000.0,33000000.0,-96000000.0,0.0,0.0,1000000.0,1000000.0,1000000.0,182000000.0,13000000.0,-240000000.0,-240000000.0,-209000000.0,-24000000.0,-111000000.0,87000000.0,,,-13000000.0,0.0,0.0,6000000.0,6000000.0,-489000000.0,-489000000.0,-25000000.0,-25000000.0,-78000000.0,-66000000.0,-12000000.0,-12000000.0,0.0,-392000000.0,-392000000.0,0.0,9000000.0,-3000000.0,362000000.0,69000000.0,-18000000.0,311000000.0,51000000.0,,,3.0
2022.0,991000000.0,991000000.0,991000000.0,515000000.0,327000000.0,186000000.0,186000000.0,-10000000.0,49000000.0,74000000.0,27000000.0,27000000.0,1000000.0,1000000.0,1000000.0,149000000.0,0.0,-268000000.0,-268000000.0,-197000000.0,-82000000.0,-247000000.0,165000000.0,,,6000000.0,0.0,0.0,5000000.0,5000000.0,-651000000.0,-651000000.0,-26000000.0,-26000000.0,-226000000.0,-226000000.0,0.0,0.0,0.0,-391000000.0,-391000000.0,-16000000.0,10000000.0,-2000000.0,427000000.0,72000000.0,-7000000.0,362000000.0,65000000.0,-468000000.0,-270000000.0,4.0
2023.0,613000000.0,613000000.0,616000000.0,575000000.0,126000000.0,188000000.0,188000000.0,-6000000.0,24000000.0,-50000000.0,-43000000.0,-43000000.0,13000000.0,2000000.0,2000000.0,-85000000.0,-3000000.0,-115000000.0,-115000000.0,-201000000.0,82000000.0,-177000000.0,259000000.0,,,4000000.0,0.0,0.0,,,-397000000.0,-397000000.0,-30000000.0,-30000000.0,40000000.0,-308000000.0,348000000.0,0.0,348000000.0,-391000000.0,-391000000.0,-16000000.0,11000000.0,-11000000.0,524000000.0,101000000.0,-4000000.0,427000000.0,97000000.0,,,1.0
2023.0,787000000.0,787000000.0,791000000.0,86000000.0,655000000.0,189000000.0,189000000.0,32000000.0,47000000.0,-188000000.0,-17000000.0,-17000000.0,592000000.0,-73000000.0,-73000000.0,50000000.0,-4000000.0,40000000.0,40000000.0,-188000000.0,0.0,-211000000.0,211000000.0,,,10000000.0,0.0,0.0,,,-755000000.0,-755000000.0,-81000000.0,-81000000.0,-340000000.0,1000000.0,-341000000.0,-350000000.0,9000000.0,-399000000.0,-399000000.0,0.0,85000000.0,-20000000.0,580000000.0,72000000.0,-16000000.0,524000000.0,56000000.0,,,2.0
2023.0,927000000.0,927000000.0,915000000.0,591000000.0,178000000.0,189000000.0,189000000.0,8000000.0,60000000.0,-59000000.0,-14000000.0,-14000000.0,-6000000.0,-6000000.0,-6000000.0,146000000.0,12000000.0,-191000000.0,-191000000.0,-160000000.0,-22000000.0,-157000000.0,135000000.0,,,-10000000.0,0.0,0.0,1000000.0,1000000.0,-468000000.0,-468000000.0,-32000000.0,-32000000.0,-29000000.0,-29000000.0,0.0,0.0,0.0,-399000000.0,-399000000.0,0.0,1000000.0,-9000000.0,814000000.0,268000000.0,-34000000.0,580000000.0,234000000.0,,,3.0
