year,Gross Profit,Total Revenue,Business Revenue,Cost of Revenue,Cost of Goods and Services,Operating Income/Expenses,"Selling, General and Administrative Expenses","Other Income/Expense, Operating",Total Operating Profit/Loss,"Non-Operating Income/Expense, Total",Total Net Finance Income/Expense,Net Interest Income/Expense,Interest Expense Net of Capitalized Interest,Interest Income,Irregular Income/Expense,Impairment/Write Off/Write Down of Capital Assets,"Other Income/Expense, Non-Operating",Pretax Income,Provision for Income Tax,Earnings from Equity Interest,Net Income before Extraordinary Items and Discontinued Operations,Discontinued Operations,Net Income after Extraordinary Items and Discontinued Operations,Non-Controlling/Minority Interests,Net Income after Non-Controlling/Minority Interests,Net Income Available to Common Stockholders,Diluted Net Income Available to Common Stockholders,"Total Revenue as Reported, Supplemental",Reported Total Operating Profit/Loss,Reported Effective Tax Rate,Reported Normalized Operating Profit,Reported Normalized Income,Basic WASO,Diluted WASO,quarter
2021.0,1480000000.0,4722000000.0,4722000000.0,-3242000000.0,-3242000000.0,-867000000.0,-854000000.0,-13000000.0,613000000.0,-118000000.0,-63000000.0,-63000000.0,-65000000.0,2000000.0,,,-55000000.0,495000000.0,-113000000.0,28000000.0,410000000.0,0.0,410000000.0,-6000000.0,404000000.0,404000000.0,404000000.0,4722000000.0,613000000.0,0.228,676000000.0,498000000.0,,,2.0
2021.0,1483000000.0,5010000000.0,5010000000.0,-3527000000.0,-3527000000.0,-826000000.0,-819000000.0,-7000000.0,657000000.0,-73000000.0,-63000000.0,-63000000.0,-64000000.0,1000000.0,,,-10000000.0,584000000.0,-126000000.0,21000000.0,479000000.0,0.0,479000000.0,-10000000.0,469000000.0,469000000.0,469000000.0,5010000000.0,657000000.0,0.216,745000000.0,548000000.0,,,3.0
2021.0,1436000000.0,4965000000.0,4965000000.0,-3529000000.0,-3529000000.0,-915000000.0,-911000000.0,-4000000.0,521000000.0,-77000000.0,-62000000.0,-62000000.0,-64000000.0,2000000.0,,,-15000000.0,444000000.0,-93000000.0,10000000.0,361000000.0,0.0,361000000.0,-4000000.0,357000000.0,357000000.0,357000000.0,4965000000.0,521000000.0,,611000000.0,439000000.0,,,4.0
2022.0,1520000000.0,5095000000.0,5095000000.0,-3575000000.0,-3575000000.0,-827000000.0,-886000000.0,59000000.0,693000000.0,-67000000.0,-63000000.0,-63000000.0,-65000000.0,2000000.0,,,-4000000.0,626000000.0,-114000000.0,23000000.0,535000000.0,0.0,535000000.0,-12000000.0,523000000.0,523000000.0,523000000.0,5095000000.0,693000000.0,0.182,629000000.0,455000000.0,,,1.0
2022.0,1529000000.0,5063000000.0,5063000000.0,-3534000000.0,-3534000000.0,-908000000.0,-906000000.0,-2000000.0,621000000.0,-94000000.0,-67000000.0,-67000000.0,-68000000.0,1000000.0,,,-27000000.0,527000000.0,-115000000.0,29000000.0,441000000.0,0.0,441000000.0,-4000000.0,437000000.0,437000000.0,437000000.0,5063000000.0,621000000.0,0.218,333912529.55082744,455000000.0,,,2.0
2022.0,1543000000.0,5053000000.0,5053000000.0,-3510000000.0,-3510000000.0,-888000000.0,-873000000.0,-15000000.0,655000000.0,-87000000.0,-69000000.0,-69000000.0,-73000000.0,4000000.0,,,-18000000.0,568000000.0,-127000000.0,29000000.0,470000000.0,0.0,470000000.0,-3000000.0,467000000.0,467000000.0,467000000.0,5053000000.0,655000000.0,0.224,354976541.5549598,475000000.0,,,3.0
2022.0,1627000000.0,4964000000.0,4964000000.0,-3337000000.0,-3337000000.0,-915000000.0,-916000000.0,1000000.0,712000000.0,-93000000.0,-69000000.0,-69000000.0,-76000000.0,7000000.0,,,-24000000.0,619000000.0,-139000000.0,35000000.0,515000000.0,0.0,515000000.0,-8000000.0,507000000.0,507000000.0,507000000.0,4964000000.0,712000000.0,,712000000.0,520000000.0,,,4.0
2023.0,1726000000.0,5195000000.0,5195000000.0,-3469000000.0,-3469000000.0,-939000000.0,-924000000.0,-15000000.0,787000000.0,-82000000.0,-66000000.0,-66000000.0,-73000000.0,7000000.0,,,-16000000.0,705000000.0,-173000000.0,43000000.0,575000000.0,0.0,575000000.0,-9000000.0,566000000.0,566000000.0,566000000.0,5195000000.0,787000000.0,0.245,,,,,1.0
2023.0,1731000000.0,5134000000.0,5134000000.0,-3403000000.0,-3403000000.0,-960000000.0,-1015000000.0,55000000.0,771000000.0,-767000000.0,-67000000.0,-67000000.0,-76000000.0,9000000.0,-658000000.0,-658000000.0,-42000000.0,4000000.0,32000000.0,50000000.0,86000000.0,0.0,86000000.0,16000000.0,102000000.0,102000000.0,102000000.0,5134000000.0,113000000.0,-0.205,727000000.0,559000000.0,,,2.0
2023.0,1838000000.0,5132000000.0,5132000000.0,-3294000000.0,-3294000000.0,-1064000000.0,-1029000000.0,-35000000.0,774000000.0,-76000000.0,-56000000.0,-56000000.0,-74000000.0,18000000.0,0.0,0.0,-20000000.0,698000000.0,-157000000.0,50000000.0,591000000.0,0.0,591000000.0,-4000000.0,587000000.0,587000000.0,587000000.0,5132000000.0,774000000.0,0.225,440918230.5630027,590000000.0,338100000.0,338900000.0,3.0
2023.0,1737000000.0,4970000000.0,4970000000.0,-3233000000.0,-3233000000.0,-1067000000.0,-993000000.0,-74000000.0,670000000.0,-56000000.0,-38000000.0,-38000000.0,-70000000.0,32000000.0,0.0,0.0,-18000000.0,614000000.0,-155000000.0,53000000.0,512000000.0,0.0,512000000.0,-3000000.0,509000000.0,509000000.0,509000000.0,4970000000.0,670000000.0,,670000000.0,512000000.0,337500000.0,338800000.0,4.0
