percent_ownership,percent_portfolio_allocated,shares_owned,shares_bought,percent_position_change,recent_ownership_date
0.031300000000,0.000500000000,10399902,-16737,-0.001609342088,2025-12-31
0.029800000000,0.012600000000,9896148,18972,0.001917109566,2026-01-31
0.025300000000,0.000600000000,8402071,15453,0.001839189409,2025-12-31
0.021800000000,0.003600000000,7225524,-89962,-0.012450584899,2025-12-31
0.013000000000,0.007900000000,4299661,1532689,0.356467405221,2025-12-31
0.013000000000,0.007900000000,4299661,1480268,0.344275513814,2025-12-31
0.012900000000,0.000600000000,4270440,0,0.000000000000,2026-01-31
0.012600000000,0.000600000000,4196803,6720,0.001601218833,2025-12-31
0.012000000000,0.000600000000,3981083,14550,0.003654784389,2026-01-31
0.012000000000,0.006400000000,3969809,3969809,1.000000000000,2025-12-31
0.010300000000,0.021300000000,3403747,-37422,-0.010994354163,2026-01-31
0.010000000000,0.015700000000,3317875,312300,0.094126511698,2026-01-31
0.009200000000,0.001400000000,3054741,19506,0.006385484072,2025-12-31
0.006200000000,0.006300000000,2065923,27100,0.013117623455,2025-12-31
0.005700000000,0.000600000000,1898924,-23037,-0.012131607163,2025-12-31
0.005700000000,0.016200000000,1877262,1877262,1.000000000000,2026-01-31
0.005400000000,0.003800000000,1798962,1798962,1.000000000000,2025-12-31
0.005300000000,0.000600000000,1767086,17900,0.010129671108,2026-01-31
0.004800000000,0.007200000000,1586823,0,0.000000000000,2026-01-31
0.004700000000,0.001900000000,1545132,-7030,-0.004549773094,2026-01-30
